Product Name,Current Date,Current Price,Old Date,Old Price,Category
New Balance 530 Unisex Spor Ayakkabı,10/06/2023,1999,12/11/2022,1234,spor-ayakkabi
"iPad 9. Nesil Wi-Fi 64 GB 10.2"" Tablet",10/06/2023,8299,10/06/2022,5271,tablet
"Macbook Air M1 8 GB 256 GB SSD 13.3"" MGN63TU/A Uzay Grisi",10/06/2023,24289,10/06/2022,14653,laptop-notebook
Xiaomi Redmi Note 11S 128 GB 8 GB,10/06/2023,7289,10/06/2022,6212,cep-telefonu
AMD Ryzen 5 5600X Altı Çekirdek 3.70 GHz İşlemci,10/06/2023,4378,10/06/2022,4509,islemci
Samsung Galaxy A34 128 GB Gümüş,10/06/2023,9599,10/04/2023,10999,cep-telefonu
Sony DualSense Kamuflaj Kablosuz PS5 Oyun Kolu,10/06/2023,2599,18/03/2023,2299,oyun-kolu
Sony DualSense Kırmızı Kablosuz PS5 Oyun Kolu,10/06/2023,2449,10/06/2022,1268,oyun-kolu
Sony DualSense Mor Kablosuz PS5 Oyun Kolu,10/06/2023,2699,10/06/2022,1349,oyun-kolu
Sony DualSense Turkuaz Kablosuz PS5 Oyun Kolu,10/06/2023,2435,10/06/2022,1249,oyun-kolu
Sony DualSense Siyah Kablosuz PS5 Oyun Kolu,10/06/2023,2499,10/06/2022,1102,oyun-kolu
Sony DualSense Pembe Kablosuz PS5 Oyun Kolu,10/06/2023,2229,10/06/2022,1299,oyun-kolu
Xiaomi Mi TV Stick Full HD Dolby DTS Chromecast Android Medya Oynatıcı,10/06/2023,1039,10/06/2022,639,tv-box
Xbox Series Beyaz Kablosuz Oyun Kolu,10/06/2023,1682,10/06/2022,1208,oyun-kolu
Xbox Series Mavi Kablosuz Oyun Kolu,10/06/2023,2085,10/06/2022,1279,oyun-kolu
Xbox Series Yeşil Kablosuz Oyun Kolu,10/06/2023,1979,10/06/2022,1278,oyun-kolu
Xbox Series Siyah Kablosuz Oyun Kolu,10/06/2023,1879,10/06/2022,1195,oyun-kolu
